estado,estado_nome,profissao,grupo_ocupacional,escolaridade_dummy,escolaridade_label,salario_brl,media_nacional_grupo_brl_2024,rendimento_uf_2025_brl
BA,Bahia,Agente de portaria,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Ajudante de carga e descarga,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Auxiliar de lavanderia,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Auxiliar de limpeza,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Camareira,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Embalador,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Jardineiro,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Lavador de carros,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Porteiro,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Servente de obras,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Zelador,Ocupações elementares,0,Nao superior,919.74,1454.0,1465.0
BA,Bahia,Auxiliar de produção,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Motorista,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Motorista de caminhão,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Motorista de ônibus,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Operador de colheitadeira,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Operador de empilhadeira,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Operador de máquina,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Operador de máquinas agrícolas,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Operador logístico,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Tratorista,Operadores de instalações e máquinas e montadores,0,Nao superior,1680.7,2657.0,1465.0
BA,Bahia,Auxiliar administrativo,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Auxiliar de almoxarifado,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Auxiliar de escritório,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Conferente,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Despachante de mercadorias,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Estoquista,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Mensageiro,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Monitor escolar,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Recepcionista,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Repositor,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Separador de pedidos,Trabalhadores de apoio administrativo,0,Nao superior,1554.19,2457.0,1465.0
BA,Bahia,Assistente de vendas,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Atendente de loja,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Auxiliar de cozinha,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Auxiliar de padaria,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Açougueiro,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Babá,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Banhista de pet shop,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Barbeiro,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Bartender,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Cabeleireiro,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Caixa,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Chapeiro,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Cobrador,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Cobrador de ônibus,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Confeiteiro,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Costureira,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Cozinheiro,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Cuidador de idosos,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Cuidador infantil,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Demonstrador de produtos,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Doceiro,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Entregador,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Feirante,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Frentista,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Garçom,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Manicure,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Maquiador,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Motoboy,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Operador de caixa,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Operador de telemarketing ativo,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Operador de telemarketing receptivo,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Padeiro,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Pizzaiolo,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Promotor de vendas,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Recreador,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Sorveteiro,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Sushiman,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Telemarketing,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Tosador de animais,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Vendedor,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Vendedor ambulante,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Vigilante,"Trabalhadores dos serviços, vendedores do comércio e dos mercados",0,Nao superior,1513.71,2393.0,1465.0
BA,Bahia,Agricultor,"Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca",0,Nao superior,1423.25,2250.0,1465.0
